"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"NAUKRI","Info Edge (India) Limited","7(2)","Swati Vashistha","Employees/Designated Employees","Equity Shares","1031","0",,"400","524000","Sell","Equity Shares","631","0","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","03-Oct-2025 13:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188829_1540570_03102025013413_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","G T Sandeep","Promoter Group","Equity Shares","171222","0.38",,"9000","1868268","Pledge Invoke","Equity Shares","162222","0.35","23-Sep-2025","23-Sep-2025","02-Oct-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","03-Oct-2025 13:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188826_1540561_03102025010152_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","G T Sandeep","Promoter Group","Equity Shares","162222","0.35",,"11000","2138608","Pledge Invoke","Equity Shares","151222","0.33","30-Sep-2025","30-Sep-2025","02-Oct-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","03-Oct-2025 13:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188826_1540561_03102025010152_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","Somnath Biswas","Key Managerial Personnel","Equity Shares","1704051","0.75",,"20000","1360000","Sell","Equity Shares","1684051","0.74","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","03-Oct-2025 12:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188824_1540538_03102025123803_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","NAVIN HARI SINGH THAKUR","-","Equity Shares","77795","0.03",,"37795","2534700","Sell","Equity Shares","40000","0.02","16-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","03-Oct-2025 12:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188822_1540534_03102025123453_WEB.xml"
"KDDL","KDDL Limited","7(2)","PRANAV SHANKAR SABOO","Promoter Group","Equity Shares","400000","3.25",,"400000","0","Buy","Equity Shares","800000","6.5","29-Sep-2025","29-Sep-2025","01-Oct-2025","Gift","-","-","0","0","0","0","NA","-","03-Oct-2025 11:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188819_1540512_03102025113518_WEB.xml"
"KDDL","KDDL Limited","7(2)","YASHOVARDHAN SABOO","Promoters","Equity Shares","2202173","17.9",,"400000","0","Sell","Equity Shares","1802173","14.65","29-Sep-2025","29-Sep-2025","01-Oct-2025","Gift","-","-","0","0","0","0","NA","-","03-Oct-2025 11:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188819_1540512_03102025113518_WEB.xml"
"MBEL","M & B Engineering Limited","7(2)","Birju Maheshbhai Patel","Director","Equity Shares","10000","0.02",,"5558","2132576","Buy","Equity Shares","15558","0.03","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","03-Oct-2025 10:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188817_1540486_03102025103858_WEB.xml"
"MBEL","M & B Engineering Limited","7(2)","Birju Maheshbhai Patel","Director","Equity Shares","10000","0.02",,"5558","2132576","Buy","Equity Shares","15558","0.03","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","03-Oct-2025 10:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188815_1540483_03102025102703_WEB.xml"
"DBOL","Dhampur Bio Organics Limited","7(2)","DBO Employee Welfare Trust","Other","Equity Shares","528376","0.8",,"55624","4676226","Buy","Equity Shares","584000","0.88","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","02-Oct-2025 21:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188810_1540463_02102025093136_WEB.xml"
"FUSION","Fusion Finance Limited","7(2)","Nishant Monga","-","Equity Shares","100","0",,"500","95600","Buy","Equity Shares","600","0","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","02-Oct-2025 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188808_1540427_02102025055536_WEB.xml"
"FUSION","Fusion Finance Limited","7(2)","Deepika Nishant Monga","-","Equity Shares","Nil","0",,"1000","191770","Buy","Equity Shares","1000","0","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","02-Oct-2025 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188808_1540427_02102025055536_WEB.xml"
"SRIVASAVI","Srivasavi Adhesive Tapes Limited","7(2)","Anil Kumara Dasa Nagaraju","Promoters","Equity Shares","7372366","52.01",,"13000","772322","Buy","Equity Shares","7385366","52.1","29-Sep-2025","29-Sep-2025","-","Market Purchase","-","-","0","0","0","0","NSE","-","02-Oct-2025 14:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188806_1540379_02102025023734_WEB.xml"
"VLINFRA","V.L.Infraprojects Limited","7(2)","Mydhili Rajagopal Reddy","Promoters","Equity Shares","3750375","23.87",,"16500","577200","Buy","Equity Shares","3766875","23.98","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","02-Oct-2025 13:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188804_1540374_02102025011302_WEB.xml"
"VLINFRA","V.L.Infraprojects Limited","7(2)","Rajagopal Reddy Annam Reddy","Promoters","Equity Shares","4880625","31.06",,"31500","1101750","Buy","Equity Shares","4912125","31.26","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","02-Oct-2025 12:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188801_1540360_02102025124301_WEB.xml"
"RELTD","Ravindra Energy Limited","7(2)","MISS. ARYAA ROJEKAR","Immediate relative","Equity Shares","Nil","0",,"250000","39912500","Buy","Equity Shares","250000","0.14","29-Sep-2025","29-Sep-2025","01-Oct-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 21:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188799_1540276_01102025093605_WEB.xml"
"RELTD","Ravindra Energy Limited","7(2)","MRS. SUPRIYA ROJEKAR","Promoters","Equity Shares","500000","0.28",,"250000","39912500","Sell","Equity Shares","250000","0.14","29-Sep-2025","29-Sep-2025","01-Oct-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 21:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188799_1540276_01102025093605_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","AMIT SINHA","-","Equity Shares","15585","0",,"3174","4571195","Buy","Equity Shares","18759","0","25-Sep-2025","25-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","8196681","0.3",,"26938","38796108","Sell","Equity Shares","8169743","0.3","25-Sep-2025","25-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Sudip Kumar Lahiri","-","Equity Shares","22404","0",,"4408","6348402","Buy","Equity Shares","26812","0","25-Sep-2025","25-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Jill Ann Kouri","-","Equity Shares","Nil","0",,"4149","5975390","Buy","Equity Shares","4149","0","25-Sep-2025","25-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Raghu Raman Lakshmanan","-","Equity Shares","96018","0",,"4149","5975390","Buy","Equity Shares","100167","0","25-Sep-2025","25-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Sriram Hariharan","-","Equity Shares","8077","0",,"4979","7170756","Buy","Equity Shares","13056","0","25-Sep-2025","25-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Sukanta Kumar Acharya","-","Equity Shares","9402","0",,"2766","3983593","Buy","Equity Shares","12168","0","25-Sep-2025","25-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 19:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml"
"BLUESTONE","BlueStone Jewellery and Lifestyle Limited","7(2)","VIPIN SHARMA","-","Equity Shares","70000","0.05",,"1500","600","Sell","Equity Shares","68500","0.05","30-Sep-2025","30-Sep-2025","01-Oct-2025","ESOP","-","-","0","0","0","0","BSE","-","01-Oct-2025 19:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188791_1540185_01102025073900_WEB.xml"
"EVERESTIND","Everest Industries Limited","7(2)","Falak Investment Pvt Ltd","Promoters","Equity Shares","7933409","50.03",,"30135","214094117","Buy","Equity Shares","7963544","50.22","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 19:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188789_1540129_01102025071701_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Aditya Brij Sekhri","-","Equity Shares","555000","3.08",,"375140","0","Sell","Equity Shares","179860","1","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188787_1540036_01102025063946_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Bhupinder Kumar Sekhri","-","Equity Shares","404924","2.25",,"8615862","0","Buy","Equity Shares","9020786","50.07","29-Sep-2025","30-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188787_1540036_01102025063946_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Puja Sekhri","-","Equity Shares","3614232","20.06",,"1965364","0","Sell","Equity Shares","1648868","9.15","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188787_1540036_01102025063946_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Shobha Sekhri","-","Equity Shares","3272686","18.17",,"2912966","0","Sell","Equity Shares","359720","2","30-Sep-2025","30-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188787_1540036_01102025063946_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Aarti Sekhri","-","Equity Shares","2881832","16",,"2522112","0","Sell","Equity Shares","359720","2","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188787_1540036_01102025063946_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Arnav Sekhri","-","Equity Shares","600000","3.33",,"420140","0","Sell","Equity Shares","179860","1","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188787_1540036_01102025063946_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Krishnav Sekhri","-","Equity Shares","600000","3.33",,"420140","0","Sell","Equity Shares","179860","1","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188787_1540036_01102025063946_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Bhupinder Kumar Sekhri","-","Equity Shares","404924","2.25",,"8615862","0","Buy","Equity Shares","9020786","50.07","29-Sep-2025","30-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188785_1540028_01102025063459_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Aditya Brij Sekhri","-","Equity Shares","555000","3.08",,"375140","0","Sell","Equity Shares","179860","1","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188785_1540028_01102025063459_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Krishnav Sekhri","-","Equity Shares","600000","3.33",,"420140","0","Sell","Equity Shares","179860","1","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188785_1540028_01102025063459_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Arnav Sekhri","-","Equity Shares","600000","3.33",,"420140","0","Sell","Equity Shares","179860","1","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188785_1540028_01102025063459_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Aarti Sekhri","-","Equity Shares","2881832","16",,"2522112","0","Sell","Equity Shares","359720","2","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188785_1540028_01102025063459_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Puja Sekhri","-","Equity Shares","3614232","20.06",,"1965364","0","Sell","Equity Shares","1648868","9.15","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188785_1540028_01102025063459_WEB.xml"
"TINNARUBR","Tinna Rubber and Infrastructure Limited","7(2)","Shobha Sekhri","-","Equity Shares","3272686","18.17",,"2912966","0","Sell","Equity Shares","359720","2","30-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 18:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188785_1540028_01102025063459_WEB.xml"
"REMUS","Remus Pharmaceuticals Limited","7(2)","Renosen Pharmaceuticals Private Limited","Promoter Group","Equity Shares","107800","0.91",,"200","146000","Buy","Equity Shares","108000","0.92","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188784_1540006_01102025062706_WEB.xml"
"MEIL","Mangal Electrical Industries Limited","7(2)","ANIKETA MANGAL","Promoters","Equity Shares","2104437","7.62",,"52124","24941049","Buy","Equity Shares","2156561","7.81","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 18:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188781_1539988_01102025062033_WEB.xml"
"APLLTD","Alembic Pharmaceuticals Limited","7(2)","Nirayu Private Limited","Promoter Group","Equity Shares","70060700","35.64",,"10000","9035483","Buy","Equity Shares","70070700","35.65","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 18:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188779_1539974_01102025061748_WEB.xml"
"SICALLOG","Sical Logistics Limited","7(2)","Pristine Malwa Logistics Park Private Limited","Promoters","Equity Shares","58641956","89.87",,"53","5919","Sell","Equity Shares","58641903","89.87","24-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 18:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188776_1539961_01102025061325_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Mahesh R. Chhabria","Other","Equity Shares","124963","1.2",,"78113","781130","Buy","Equity Shares","203076","1.93","30-Sep-2025","30-Sep-2025","30-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 18:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188774_1539951_01102025061017_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Aditi Chirmule","Director","Equity Shares","6538","0.06",,"3921","39210","Buy","Equity Shares","10459","0.1","30-Sep-2025","30-Sep-2025","30-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 18:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188774_1539951_01102025061017_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mahendra Bhalerao","Employees/Designated Employees","Equity Shares","13356","0",,"1000","3427056","Sell","Equity Shares","12356","0","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 18:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188773_1539946_01102025060843_WEB.xml"
"DUGLOBAL","DUDIGITAL GLOBAL LIMITED","7(2)","RAJESH ROHILLA","Key Managerial Personnel","Equity Shares","39109","0.54",,"37500","1491125","Sell","Equity Shares","1609","0.02","29-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 18:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188771_1539941_01102025060652_WEB.xml"
"TREJHARA","TREJHARA SOLUTIONS LIMITED","7(2)","VIMAL GAMBHIRBHAI GARACHH","Key Managerial Personnel","Equity Shares","1","0",,"13560","2462800","Buy","Equity Shares","13561","0.09","29-Sep-2025","29-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","BSE","-","01-Oct-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188770_1539931_01102025060222_WEB.xml"
"TREJHARA","TREJHARA SOLUTIONS LIMITED","7(2)","VIMAL GAMBHIRBHAI GARACHH","Key Managerial Personnel","Equity Shares","13561","0.09",,"11440","2067681","Buy","Equity Shares","25001","0.17","29-Sep-2025","29-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188770_1539931_01102025060222_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2094304","0.76",,"8500","85000","Sell","Equity Shares","2085804","0.76","29-Sep-2025","29-Sep-2025","30-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188763_1539885_01102025054840_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2099054","0.77",,"1000","10000","Sell","Equity Shares","2098054","0.77","26-Sep-2025","26-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188763_1539885_01102025054840_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2098054","0.77",,"3750","4525064","Sell","Equity Shares","2094304","0.76","29-Sep-2025","29-Sep-2025","30-Sep-2025","ESOP","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188763_1539885_01102025054840_WEB.xml"
"JUBLPHARMA","Jubilant Pharmova Limited","7(2)","Jubilant Employees Welfare Trust","Other","Equity Shares","1007446","0.63",,"11319","12187469","Buy","Equity Shares","1018765","0.64","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188761_1539872_01102025054454_WEB.xml"
"ROLEXRINGS","Rolex Rings Limited","7(2)","Hemal Paresh Madeka","Promoter Group","Equity Shares","320000","1.18",,"11000","0","Sell","Equity Shares","309000","1.13","29-Sep-2025","29-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 17:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188759_1539851_01102025053836_WEB.xml"
"ROLEXRINGS","Rolex Rings Limited","7(2)","Paresh Dayashankar Madeka","Promoter Group","Equity Shares","Nil","0",,"11000","0","Buy","Equity Shares","11000","0.04","29-Sep-2025","29-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 17:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188759_1539851_01102025053836_WEB.xml"
"NRAIL","N R Agarwal Industries Limited","7(2)","REERA HOLDINGS PRIVATE LIMITED","Promoter Group","Equity Shares","84200","0.49",,"10000","4144251","Buy","Equity Shares","94200","0.55","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188757_1539840_01102025053453_WEB.xml"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","7(2)","Kapil Toshniwal","Employees/Designated Employees","Equity Shares","24996","0",,"19995","5495625","Sell","Equity Shares","5001","0","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188755_1539836_01102025053358_WEB.xml"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","7(2)","Kapil Toshniwal","Employees/Designated Employees","Equity Shares","35001","0",,"10005","2759375","Sell","Equity Shares","24996","0","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188755_1539836_01102025053358_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1213738","12.78",,"168","20927","Buy","Equity Shares","1213906","12.78","26-Aug-2025","26-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1212669","12.77",,"1069","131487","Buy","Equity Shares","1213738","12.77","18-Aug-2025","18-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216172","12.8",,"133","16492","Buy","Equity Shares","1216305","12.8","29-Aug-2025","29-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216305","12.81",,"381","47263","Buy","Equity Shares","1216686","12.81","02-Sep-2025","02-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216686","12.81",,"94","11660","Buy","Equity Shares","1216780","12.81","02-Sep-2025","02-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216780","12.81",,"301","37444","Buy","Equity Shares","1217081","12.81","05-Sep-2025","05-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1217081","12.81",,"420","52092","Buy","Equity Shares","1217501","12.81","09-Sep-2025","09-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1217501","12.83",,"1827","227826","Buy","Equity Shares","1219328","12.83","16-Sep-2025","16-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
